company_name,company_market,company_city,company_category_list,total_funding,investor_rating,company_max_round,keyword_clusters,final_cluster
Adomo,Messaging,Cupertino,|Messaging|,22.000,10,0,17,32
Neopolitan Networks,Curated Web,Palo Alto,|Curated Web|,3.170,8,1,9,6
Paracor Medical,Health Care,Sunnyvale,|Health Care|,44.000,10,4,0,80
Leyden Energy,Manufacturing,Fremont,|Manufacturing|,34.500,10,3,29,56
Kyte,Video,San Francisco,|Media|iPhone|Mobile|Video|Games|,23.350,9.83,2,27,62
Rupture,Social Network Media,San Francisco,|Social Network Media|Games|,3.000,9.67,0,7,88
Cnano Technology,Nanotechnology,Santa Clara,|Nanotechnology|,12.000,10,1,22,94
Twitter,Software,San Francisco,|Software|SMS|MicroBlogging|Messaging|Social Media|,1160.167,9.83,7,17,53
Jaxtr,Mobile,Menlo Park,|VoIP|Mobile|,21.500,10,2,22,94
Jawbone,Consumer Electronics,San Francisco,|Consumer Electronics|Personal Health|Mobile Software Tools|Hardware + Software|,518.800,10,2,22,25
Cooliris,Photo Sharing,San Francisco,|Photo Sharing|Mobile Social|Mobile|Messaging|,28.100,10,3,17,32
Ning by Glam Media,Enterprise Software,Brisbane,|Communities|Enterprise Software|,119.000,10,5,1,82
NebuAd,Advertising,Redwood City,|Advertising|,30.150,10,2,8,23
hi5,Games,San Francisco,|Networking|Games|,52.000,10,1,26,4
3Jam,Messaging,San Francisco,|SMS|Messaging|,4.000,10,1,17,32
"Remixation, Inc.",Web Tools,San Francisco,|File Sharing|Web Tools|Video|Games|,5.580,10,1,27,62
Apture,Curated Web,San Francisco,|Advertising|Publishing|Blogging Platforms|Curated Web|,4.600,5.25,1,22,9
Trion Worlds,Games,Redwood City,|Games|,185.000,10,4,3,24
U4EA,Hardware + Software,Fremont,|Wireless|Telecommunications|Hardware + Software|,16.000,8,3,22,94
VMware,Software,Palo Alto,|Software|,368.500,10,0,6,59
InMage Systems,Enterprise Software,San Jose,|Enterprise Software|Software|,35.857,9.5,3,1,22
Serus,Enterprise Software,Sunnyvale,|Enterprise Software|,13.800,9.6,3,1,47
NoiseFree,Software,Sunnyvale,|Software|,1.400,4,0,6,1
BlogHer,Blogging Platforms,Belmont,|Blogging Platforms|Women|Curated Web|,15.500,9.83,3,22,94
Edvert,Advertising,Belmont,|Advertising|,1.040,10,1,8,23
MarkLogic,Enterprise Software,San Carlos,|Enterprise Search|Content|Web Development|Enterprise Software|,73.563,9.75,5,1,22
Connectbeam,Software,Mountain View,|Software|,3.500,10,1,6,1
Star Analytics,Software,San Mateo,|Software|,3.500,10,1,6,1
Satiety,Health Care,Palo Alto,|Health Care|,62.800,10,4,0,80
CoWare,Software,San Jose,|Software|,7.000,9.67,6,6,1
Nuon Therapeutics,Biotechnology,San Mateo,|Biotechnology|,48.050,10,2,2,3
Active Optical MEMS,0,Fremont,0,0.000,0,2,22,9
Plato Networks,Semiconductors,Santa Clara,|Semiconductors|,29.528,10,3,4,20
NextHop Technologies,Software,Mountain View,|Software|,4.000,10,4,6,1
SignalDemand,Software,San Francisco,|Software|,30.000,10,3,6,84
Right90,Sales and Marketing,Foster City,|Sales and Marketing|Software|,22.000,10,0,22,94
BillShrink,Curated Web,Redwood City,|Curated Web|,9.000,10,2,9,6
DecisionView,Software,San Francisco,|Software|,10.511,9.33,3,6,1
CareParent,Health and Wellness,Palo Alto,|Health and Wellness|,6.000,10,1,18,5
Adzilla,Advertising,Brisbane,|Advertising|,10.250,10,1,8,23
Dyyno,iPad,Palo Alto,|Facebook Applications|Mac|Computers|Android|iPad|Advertising|Games|,14.079,9,1,22,94
PacketTrap Networks,IT Management,San Francisco,|Apps|IT Management|Networking|Software|,5.500,10,1,26,87
Aravo Solutions,Enterprise Software,San Francisco,|Enterprise Software|,39.869,8.43,4,1,22
FFWD,Curated Web,San Francisco,|Curated Web|,1.700,10,1,9,6
Doppelganger,Games,San Francisco,|Games|,11.000,9.8,4,3,29
Livingly Media,Entertainment,San Carlos,|Entertainment|Fashion|Media|Digital Media|Advertising|,15.700,9.63,2,7,17
sezmi,Games,Belmont,|Television|Games|,95.892,10,3,3,98
Tiny Pictures,Photography,San Francisco,|Photography|Mobile|,11.200,10,2,22,94
Media Machines,Curated Web,San Francisco,|Curated Web|,9.400,10,1,9,6
TeeBeeDee,Social Media,San Francisco,|Social Media|,4.800,10,1,7,88
Jive Software,Technology,Palo Alto,|Technology|Web Tools|Web Development|Social Media|Software|,69.427,10,3,7,71
Filtrbox,Finance,Palo Alto,|Finance|Curated Web|,1.915,9.67,1,9,6
Brightkite,Finance,Burlingame,|Chat|Local|Maps|Android|Mobile|iPhone|Gps|Location Based Services|Social Network Media|Finance|Social Media|,2.095,10,0,7,88
Masala,Curated Web,San Francisco,|Curated Web|,4.500,10,1,9,6
Mogad,Web Hosting,San Francisco,|Facebook Applications|Networking|Messaging|Web Hosting|,0.500,7.5,1,26,87
AppJet,Curated Web,San Francisco,|Venture Capital|Software|Curated Web|,0.715,6.88,0,22,9
Zivity,Art,San Francisco,|Art|Fashion|Content|Women|Social Media|Social Network Media|Photography|,8.000,8.4,1,7,88
KineMed,Health Care,Emeryville,|Health Care|,33.738,9,0,0,80
HubPages,Curated Web,San Francisco,|Crowdsourcing|Journalism|Curated Web|,8.000,10,2,22,9
CoolSystems,Health Care,Alameda,|Health Care|,11.250,10,0,0,8
AutekBio,Medical,Santa Clara,|Medical|Biotechnology|,2.100,9.33,2,2,46
Qlusters,Data Centers,Palo Alto,|Data Integration|Software|Data Centers|,10.360,9.6,3,22,9
Silicon Genesis,Hardware + Software,San Jose,|Hardware + Software|,23.000,9.33,1,10,21
WiredBenefits,Health and Wellness,Foster City,|Health and Wellness|,2.500,10,1,18,5
DemandTec,Software,San Carlos,|Software|,6.000,10,0,6,1
Parade Technologies,Semiconductors,Sunnyvale,|Semiconductors|,14.500,10,2,4,20
Zafu,Big Data,Berkeley,|SaaS|Big Data|Analytics|Ad Targeting|Fashion|,4.100,8.5,2,13,39
VistaGen Therapeutics,Biotechnology,South San Francisco,|Biotechnology|,42.820,7.5,0,2,3
Restoration Robotics,Biotechnology,Mountain View,|Biotechnology|Health Care|,113.000,10,3,0,66
Tenaxis Medical,Health Care,Mountain View,|Health Care|,28.277,8,2,0,80
Sierra Surgical,Biotechnology,Palo Alto,|Biotechnology|,21.600,10,2,2,46
Elastra,Enterprise Software,San Francisco,|Enterprise Software|,14.600,10,2,1,47
VytronUS,Health Care,Sunnyvale,|Health Care|,66.378,10,2,0,80
Novafora,Software,San Jose,|Software|,12.000,10,0,6,1
Vibrynt,Health Care,Palo Alto,|Health Care|,18.750,9.33,1,0,8
xMatters,Business Services,San Ramon,|Business Services|Enterprise Software|,7.500,10,3,1,47
TradeBeam,Enterprise Software,San Mateo,|Enterprise Software|,36.000,9.83,3,1,22
Presidio Pharmaceuticals,Biotechnology,San Francisco,|Biotechnology|,100.183,10,2,2,49
SayNow,Messaging,Palo Alto,|Messaging|,7.510,10,1,17,32
What They Like,Curated Web,San Francisco,|Curated Web|,0.990,4,1,9,6
Solexant,Clean Technology,San Jose,|Clean Technology|,90.000,9.96,4,11,70
FlowCardia,Health Care,Sunnyvale,|Health Care|,30.000,9.89,0,0,80
Factor Technology Group,Software,San Francisco,|Software|,2.960,10,1,6,1
Get Satisfaction,Social CRM,San Francisco,|Social CRM|Customer Service|Forums|Reviews and Recommendations|Curated Web|,20.850,8.94,2,22,94
Gemfire,0,Fremont,0,0.000,0,0,22,9
Blekko,Search,Redwood Shores,|Search|,60.200,9.08,3,19,77
Kabam,Games,San Francisco,|Social Games|Networking|Web Development|Social Media|Games|,244.500,9.79,5,3,24
TargetCast Networks,Advertising,San Ramon,|Advertising|,12.800,10,2,8,23
SocialMedia.com,Facebook Applications,San Francisco,|Facebook Applications|Social Media|Advertising|,10.000,9.86,2,7,88
Xoom Corporation,Finance,San Francisco,|Finance|P2P Money Transfer|E-Commerce|,78.029,9.53,6,22,0
Caring.com,Elder Care,San Mateo,|Baby Boomers|Elder Care|Senior Health|Local Based Services|Media|,23.520,10,2,22,94
PlaySpan,Games,Santa Clara,|Game|Games|,46.300,9.94,3,3,98
Ausra,Solar,Mountain View,|Solar|Clean Technology|,123.300,9.75,4,25,57
RingCentral,Technology,San Mateo,|Technology|Office Space|Mobile|VoIP|Messaging|,44.000,10,4,22,61
StartForce,Enterprise Software,San Francisco,|Enterprise Software|,6.000,9,1,1,47
Dipity,Facebook Applications,San Francisco,|Facebook Applications|Social Media|Curated Web|,0.900,6.67,0,7,88
Doostang,Career Management,Palo Alto,|Social Network Media|Networking|Employment|Career Management|Search|Curated Web|,5.750,10,0,26,87
DogTime Media,Curated Web,San Francisco,|Curated Web|,1.000,10,0,9,6
RentMineOnline,Sales and Marketing,San Francisco,|Facebook Applications|Real Estate|Internet Marketing|Internet|Social Network Media|Startups|Sales and Marketing|Lead Generation|Finance|,0.069,5,0,22,9
Project Playlist,Music,Palo Alto,|Networking|Music|,23.000,9.25,2,16,16
We Are Hunted,Peer-to-Peer,San Francisco,|Twitter Applications|Peer-to-Peer|Forums|Internet|Graphics|Music|Software|,3.000,6,0,22,9
Netbooks,Curated Web,San Francisco,|Curated Web|,16.356,10,1,9,6
Hyperion Therapeutics,Health Care,South San Francisco,|Health Care|Biotechnology|,165.962,10,3,0,42
BiTMICRO Networks Inc,Semiconductors,Fremont,|Semiconductors|,40.700,8.5,0,4,75
Actiance,Software,Belmont,|Software|,15.600,10,0,6,1
BlueRoads,Curated Web,San Mateo,|Curated Web|,15.000,10,0,9,6
Solar Power Partners,Clean Technology,Mill Valley,|Clean Technology|,253.000,9.63,0,11,40
Donnorwood Media,Games,San Francisco,|Games|,5.000,10,0,3,29
Solar Notion,Clean Technology,Sunnyvale,|Clean Technology|,10.000,10,0,11,14
Levanta,Software,San Mateo,|Software|,8.000,10,0,6,1
Xangati,Security,San Jose,|Security|Internet|Virtualization|Enterprise Software|,21.700,10,0,12,67
ArrayComm,Software,San Jose,|Software|,30.000,9.5,0,6,84
MobileIron,Mobile Security,Mountain View,|Mobile Security|Mobile Devices|Apps|Mobile|,144.800,9.96,0,5,79
Corium International,Health Care,Menlo Park,|Health Care|,40.000,10,0,0,80
ReflexPhotonics,Semiconductors,Mountain View,|Semiconductors|,5.000,8,0,4,20
OpTrip,Travel,Emeryville,|Travel|,0.500,10,0,15,41
FORA.tv,Events,San Francisco,|Events|Politics|Video Streaming|Video|Photography|,8.000,9,0,27,62
Arcxis Biotechnologies,Biotechnology,Pleasanton,|Biotechnology|,3.440,9.33,0,2,46
Justin.TV,Chat,San Francisco,|Chat|Video|Games|,8.000,10,0,27,62
Multispan,Biotechnology,Hayward,|Biotechnology|,0.600,8,0,2,46
Podaddies,Advertising,San Francisco,|Advertising|,1.000,9.5,0,8,23
Fraud Sciences,Security,Palo Alto,|Security|,11.000,10,0,12,67
Schooner Information Technology,Enterprise Software,Sunnyvale,|Databases|Enterprise Software|,35.000,10,0,1,22
Wikinvest,Finance,San Francisco,|Stock Exchanges|Finance|,17.520,10,0,22,94
rVita,Health Care Information Technology,Santa Clara,|Fitness|Health Care Information Technology|Internet|Health and Wellness|,1.000,9,0,18,5
SezWho,Blogging Platforms,Los Altos,|Forums|Blogging Platforms|Curated Web|,1.000,9,0,22,9
OnLive,Games,Palo Alto,|Games|,56.500,10,0,3,98
Shipwire,Enterprise Software,Palo Alto,|Enterprise Software|,10.000,8.67,0,1,47
AccelOps,Cloud Management,Santa Clara,|Networking|SaaS|Security|Cloud Computing|Cloud Management|Virtualization|Analytics|,25.000,10,0,24,11
GameLayers,Games,San Francisco,|Web Browsers|Browser Extensions|Games|,2.000,9.4,0,22,9
WeGame,Social Media,San Francisco,|Social Media|,3.500,8.78,0,7,88
Aeria Games & Entertainment,Games,Santa Clara,|Networking|Games|,0.288,10,0,26,87
Noovo,Ediscovery,Palo Alto,|Ediscovery|Social Media|Curated Web|,0.427,6.25,0,7,88
Crowd Technologies,Social Media,Los Altos,|Social Media|,1.000,4.4,0,7,88
GenieTown,Curated Web,Palo Alto,|Search|Local|Curated Web|,2.000,5,0,19,33
Origen Therapeutics,Biotechnology,Burlingame,|Biotechnology|,5.743,6,0,2,46
LED Engin,Semiconductors,San Jose,|Semiconductors|,11.000,9,0,4,20
Asoka,Hardware + Software,Santa Clara,|Hardware + Software|,7.000,10,0,10,21
AngioScore,Biotechnology,Fremont,|Biotechnology|,42.000,9.86,0,2,3
Catalyst Mobile,Games,Emeryville,|Games|,10.000,10,0,3,29
Agito Networks,Enterprise Software,Santa Clara,|Enterprise Software|,22.000,10,0,1,47
TriReme Medical,Health Care,Pleasanton,|Health Care|,57.555,9.67,0,0,80
Linkage Biosciences,Biotechnology,South San Francisco,|Biotechnology|,12.643,8.4,0,2,46
eXpresso,Communities,Palo Alto,|Hardware|Collaboration|Cloud Data Services|Communities|Software|,2.000,9,0,24,63
Bricsnet,Real Estate,San Francisco,|Real Estate|,23.000,8,0,22,94
Fluxion Biosciences,Biotechnology,South San Francisco,|Biotechnology|,9.000,9.6,0,2,46
Relypsa,Health Care,Redwood City,|Health Care|Biotechnology|,357.130,9.95,0,0,76
Zeltiq Aesthetics,Biotechnology,Pleasanton,|Biotechnology|,70.424,10,0,2,3
High Gear Media,Automotive,Menlo Park,|Automotive|,12.000,10,0,22,94
Zoosk,Social Media,San Francisco,|Social Media|,61.600,9.93,0,7,71
Sendori,Internet Marketing,Oakland,|Internet Marketing|Enterprise Software|,2.500,10,0,1,47
Vobile,Curated Web,Santa Clara,|Curated Web|,19.268,8.82,0,9,6
Seesmic,Windows Phone 7,San Francisco,|Marketplaces|Browser Extensions|Windows Phone 7|Android|CRM|Facebook Applications|Social Media|Brand Marketing|Twitter Applications|Messaging|Curated Web|,16.000,9.24,0,22,94
CompanyLoop,Web Hosting,Mountain View,|Web Hosting|,5.000,10,0,28,12
Yola,Small and Medium Businesses,San Francisco,|Networking|Internet|Small and Medium Businesses|Curated Web|,25.000,8,0,26,4
Serious Energy,Clean Technology,Sunnyvale,|Clean Technology|,135.147,9.91,0,11,70
Quantenna Communications,Wireless,Fremont,|Wireless|Semiconductors|,144.154,10,0,4,43
Bleacher Report,Blogging Platforms,San Francisco,|Blogging Platforms|Publishing|Sports|,40.500,8.91,0,22,61
Blowtorch,Entertainment,Sausalito,|Entertainment|Games|,50.000,10,0,3,98
beRecruited,Sports,San Francisco,|Blogging Platforms|Education|Networking|Colleges|Recruiting|Sports|,1.200,9,0,26,87
LEAD Therapeutics,Biotechnology,San Bruno,|Biotechnology|,20.000,9.67,0,2,46
GetJar Inc.,Mobile,San Mateo,|Wireless|Android|App Stores|Mobile|,42.000,10,0,22,61
Navigenics,Biotechnology,Foster City,|Biotechnology|,43.000,10,0,2,3
Aria Systems,Enterprise Software,San Francisco,|Video on Demand|Subscription Businesses|Monetization|SaaS|Cloud Computing|Billing|Enterprise Software|,81.200,10,0,24,93
JoMaJa,0,San Francisco,0,0.000,0,0,22,9
Brand.net,Advertising,San Mateo,|Advertising|,27.000,10,0,8,23
Huddle,Collaboration,San Francisco,|Web Development|Internet|Document Management|Project Management|Collaboration|Enterprise Software|,38.200,10,0,22,61
NorthStar Systems International,Software,San Francisco,|Software|,29.500,9.33,0,6,84
Zosano Pharma,Biotechnology,Fremont,|Biotechnology|,142.356,9.91,0,2,49
Vaxart,Biotechnology,San Francisco,|Biotechnology|,52.668,10,0,2,3
agÃ¡mi Systems,Hardware + Software,Sunnyvale,|Hardware + Software|,50.000,9.75,0,10,73
Carbylan BioSurgery,Health Care,Palo Alto,|Health Care|,31.000,10,0,0,80
Evalve,Health Care,Menlo Park,|Health Care|,60.000,9.8,0,0,80
Platform Solutions,Hardware + Software,Sunnyvale,|Hardware + Software|,37.000,10,0,10,73
Qwaq,Enterprise Software,Palo Alto,|Enterprise Software|,7.000,10,0,1,47
LesConcierges,Advertising,San Francisco,|Services|Service Providers|Loyalty Programs|Advertising|,27.400,10,0,22,94
Dapper,Music,San Francisco,|Music|Web Tools|Advertising|,3.000,10,0,16,16
Jobvite,Recruiting,San Mateo,|Recruiting|Social Media|,55.450,10,0,7,71
Power Analog Microelectronics,Hardware + Software,Santa Clara,|Hardware + Software|,6.000,9.25,0,10,21
Hooja,Mobile,Palo Alto,|SMS|Mobile|,1.250,7,0,22,9
CDNetworks,Content Delivery,San Jose,|Internet|Security|Cloud Computing|Content Delivery|Web Hosting|,96.500,10,0,24,93
Crowd Science,Advertising,San Jose,|Advertising|,2.000,10,0,8,23
Consorte Media,Advertising,San Francisco,|Advertising|,7.000,10,0,8,23
Funny Or Die,Video,San Mateo,|Entertainment|Video|Celebrity|Games|,18.000,10,0,27,62
Presdo,Enterprise Software,Mountain View,|Networking|Enterprise Software|,0.035,4,0,26,87
DeliveryEdge,Shipping,San Francisco,|Postal and Courier Services|Shipping|E-Commerce|,1.500,4,0,22,9
CoMentis,Biotechnology,South San Francisco,|Biotechnology|,32.000,10,0,2,46
TuVox,Consulting,Cupertino,|Consulting|,20.000,10,0,22,94
Auditude,Monetization,Palo Alto,|Monetization|Video|Advertising|,30.426,10,0,27,38
Pelikan Technologies,Biotechnology,Palo Alto,|Biotechnology|,94.000,10,0,2,49
Polyvore,Fashion,Mountain View,|Fashion|Shopping|Curated Web|,22.100,10,0,9,6
ParAccel,Analytics,Campbell,|Analytics|,84.492,9.89,0,13,97
ConXtech,Manufacturing,Hayward,|Manufacturing|,7.100,8,0,29,56
Quantum4D,Software,San Francisco,|Software|,0.200,10,0,6,1
SLI Systems,Curated Web,San Jose,|Curated Web|,1.000,4,0,9,6
Sungevity,Clean Technology,Oakland,|Clean Technology|,245.500,9.39,0,11,40
GestureTek,Hardware + Software,Sunnyvale,|Hardware + Software|,26.787,10,0,10,21
Intelleflex,Enterprise Software,Santa Clara,|Enterprise Software|,44.000,10,0,1,22
Powervation,Hardware + Software,San Jose,|Hardware + Software|,32.497,9.64,0,10,21
GetQuik,Hospitality,Santa Clara,|Restaurants|Hospitality|,0.200,2,0,22,9
Ustream,Video Streaming,San Francisco,|Apps|Mobile|Broadcasting|Video|Video Streaming|Games|,60.310,8.6,0,27,38
Corthera,Biotechnology,San Carlos,|Biotechnology|,23.000,10,0,2,46
Element Labs,Curated Web,Santa Clara,|Curated Web|,14.750,10,0,9,6
Cogentus Pharmaceuticals,Biotechnology,Menlo Park,|Biotechnology|,62.500,9.75,0,2,3
TokBox,Archiving,San Francisco,|Video Conferencing|Archiving|Messaging|,26.000,9.25,0,27,38
PowerVision,Health Care,Belmont,|Health Care|,86.500,9.94,0,0,66
Smaato,Advertising,San Francisco,|Advertising|,43.100,9.9,0,8,72
Trilibis,Mobile,San Mateo,|Mobile|,7.700,10,0,5,13
Zynga,Technology,San Francisco,|Technology|Facebook Applications|Networking|Games|,866.551,9.87,0,26,36
Mixbook,Curated Web,Palo Alto,|Curated Web|,11.000,10,0,9,6
Reverb Technologies,Content Discovery,San Mateo,|Business Analytics|Content Discovery|B2B|Curated Web|,12.790,9.2,0,22,94
Kleer,Hardware + Software,Cupertino,|Hardware + Software|,58.000,9.86,0,10,73
Conduit,Browser Extensions,Foster City,|Browser Extensions|Mobile|Sales and Marketing|Apps|Advertising|,109.800,10,0,22,0
Engine Yard,Web Development,San Francisco,|PaaS|Infrastructure|Apps|Web Hosting|Web Development|Software|,37.500,10,0,28,12
Smule,Music,San Francisco,|Audio|iPhone|Mobile|Music|,42.100,10,0,16,16
Sopogy,Clean Technology,San Jose,|Renewable Energies|Green|Solar|Clean Technology|,34.390,9,0,25,64
Pudding Media,Advertising,San Francisco,|Advertising|,11.000,10,0,8,23
Novasentis,Hardware + Software,Burlingame,|Hardware + Software|,13.412,10,0,10,21
POINT Biomedical,Health Care,San Carlos,|Health Care|Health and Wellness|Pharmaceuticals|Medical|Biotechnology|,29.300,10,0,18,5
PubMatic,Advertising,Redwood City,|Advertising|,63.000,10,0,8,72
Canopy Financial,Finance,San Francisco,|Finance|,89.500,10,0,14,45
AppDynamics,Software,San Francisco,|Software|,206.500,9.95,0,6,86
Kadoink,Mobile,San Francisco,|Music|Audio|SMS|Web Tools|Mobile|,9.500,10,0,16,16
Bloom Energy,Clean Technology,Sunnyvale,|Clean Technology|,980.000,10,0,11,7
Prezi,Presentations,San Francisco,|Presentations|Software|,71.260,8.4,0,22,0
BigTent Design,Networking,San Francisco,|Networking|Curated Web|,8.000,10,0,9,6
"Roku, Inc.",Hardware + Software,Saratoga,|Entertainment|Consumer Electronics|Hardware + Software|,153.100,9.8,0,22,58
"Optimal, Inc.",SaaS,San Francisco,|SaaS|Advertising|,7.600,8.63,0,8,23
Stitcher,News,San Francisco,|Sports|Entertainment|News|Internet Radio Market|Mobile|,18.700,10,0,22,94
Mill River Labs,Curated Web,Mountain View,|Curated Web|,0.900,9,0,9,6
DeciZium,Online Travel,San Jose,|Online Travel|Travel|,1.500,4,0,15,41
Heroku,Enterprise Software,San Francisco,|Venture Capital|Web Development|Enterprise Software|,13.020,10,0,22,94
Vizerra,Software,San Francisco,|Software|,16.000,7.33,0,6,1
Clickst,Direct Marketing,San Francisco,|SaaS|Advertising Networks|Direct Marketing|E-Commerce|Analytics|,0.500,7,0,22,9
SlideShare,Curated Web,San Francisco,|Curated Web|,3.000,8.29,0,9,6
"Morf Media, Inc.",Education,Sunnyvale,|Education|Big Data|Artificial Intelligence|Neuroscience|Mobile|Hospitality|Banking|Sales and Marketing|Training|Enterprises|Gamification|SaaS|Software|,7.000,7,0,22,9
Check,Sports,Palo Alto,|Sports|Mobile|,47.000,8.5,0,22,61
OfferLounge,Public Relations,Morgan Hill,|Advertising|Promotional|Discounts|Public Relations|,0.120,2,0,22,9
Topsy Labs,Twitter Applications,San Francisco,|Twitter Applications|Social Media|Real Time|Search|Analytics|,35.200,10,0,19,33
Thismoment,Software,San Francisco,|Software|,51.980,8.54,0,6,84
Aragon Surgical,Health Care,Palo Alto,|Health Care|,25.000,10,0,0,8
"Imergy Power Systems, Inc.",Clean Technology,Fremont,|Clean Technology|,15.000,10,0,11,14
Benvenue Medical,Health Care,Santa Clara,|Health Care|,149.466,10,0,0,42
Memeo,Flash Storage,Santa Clara,|Storage|Flash Storage|Software|,11.100,10,0,22,94
Step Labs,Software,San Jose,|Software|,6.500,9.25,0,6,1
Quantivo,Business Intelligence,Emeryville,|SaaS|Cloud Computing|Business Intelligence|Analytics|,9.400,10,0,24,63
ViOptix,Biotechnology,Fremont,|Biotechnology|,18.027,9.25,0,2,46
RatingBug,Curated Web,Foster City,|Software|Opinions|Reviews and Recommendations|Web Tools|Curated Web|,0.100,7,0,22,9
DuneNetworks,Semiconductors,Sunnyvale,|Semiconductors|,12.000,10,0,4,20
Laboratory Partners,Biotechnology,Palo Alto,|Biotechnology|,29.000,9.67,0,2,46
Autonomic Technologies,Health Care,San Francisco,|Health Care|,55.000,10,0,0,80
Leadspace,Enterprise Software,Menlo Park,|Enterprise Software|,10.000,9,0,1,47
Centric Software,Software,Campbell,|Software|,62.400,9.89,0,6,51
MarketRiders,Personal Finance,Palo Alto,|Personal Finance|Finance|,0.200,2,0,14,27
Granicus,Enterprise Software,San Francisco,|Collaboration|Video Streaming|Cloud Computing|Enterprise Software|,10.301,10,0,24,63
Siperian,Analytics,Foster City,|Analytics|,25.000,10,0,13,39
"SmartTurn, a DiCentral Company",Advertising,San Francisco,|Advertising|,5.000,10,0,8,23
GoldSpot Media,Mobile,Sunnyvale,|Video|Mobile|Advertising|,17.050,8.67,0,27,62
Integrated Media Measurement (IMMI),Advertising,San Mateo,|Advertising|,25.000,10,0,8,23
NextG Networks,Mobile,Milpitas,|Wireless|Mobile|,49.800,10,0,22,61
Hotchalk,Education,Campbell,|Education|,5.000,10,0,20,18
Evolv,Career Management,San Francisco,|Career Management|Enterprise Software|Analytics|,42.497,10,0,22,61
Pano Logic,Software,Menlo Park,|Software|,38.000,10,0,6,84
Yonja Media Group,Social Games,Menlo Park,|Social Games|Facebook Applications|Networking|Social Media|,12.500,9,0,26,87
Ensenda,Transportation,San Francisco,|Transportation|SaaS|Cloud Computing|Logistics|Enterprise Software|,12.101,10,0,24,63
Flowgram,Curated Web,San Francisco,|Digital Media|Curated Web|,1.300,8,0,9,6
Collarity,Advertising,Palo Alto,|Reviews and Recommendations|Ediscovery|Web Tools|Search|Advertising|,12.198,8.5,0,19,33
Coverity,Open Source,San Francisco,|Open Source|Enterprise Software|,22.000,10,0,22,94
RocketOn,Software,South San Francisco,|Software|,5.800,8.5,0,6,1
Soraa,Lighting,Fremont,|Lighting|Semiconductors|Clean Technology|,101.600,10,0,11,70
Sparkplay Media,Curated Web,Mill Valley,|Curated Web|,7.050,10,0,9,6
Crunchyroll,Music,San Francisco,|Subscription Businesses|Music|Video|Games|,4.800,6.67,0,16,16
Kanjoya,Analytics,San Francisco,|Analytics|,13.524,9.67,0,13,39
ClubJumpr.com,Hospitality,Mill Valley,|Location Based Services|Hospitality|,0.120,2,0,22,9
Clickability,Enterprise Software,San Francisco,|Content|SaaS|Enterprise Software|,11.500,8.67,0,1,47
ZillionTV,Games,Sunnyvale,|Television|Games|,22.900,7.67,0,3,29
Alverix,Finance,San Jose,|Finance|,7.700,10,0,14,27
Lookery,Advertising,San Francisco,|Advertising|,3.150,7.52,0,8,23
TubeMogul,Analytics,Emeryville,|Content Syndication|Video|Analytics|Advertising|,53.157,9.38,0,27,38
HipLogic,Mobile,Fremont,|Mobile|,14.665,9.2,0,5,13
PublicEarth,Location Based Services,Menlo Park,|Location Based Services|Gps|Travel|,4.000,10,0,15,41
Corepair,Health Care,Sunnyvale,|Health Care|,5.685,10,0,0,8
Nimbic (formerly Physware),Enterprise Software,Mountain View,|Enterprise Software|,11.544,9.14,0,1,47
WideOrbit,Advertising Platforms,San Francisco,|Advertising Platforms|Internet Radio Market|Advertising|Television|Enterprise Software|Software|,34.500,10,0,22,61
Pliant Technology,Enterprise Software,Milpitas,|Enterprise Software|,50.300,10,0,1,22
Zonare Medical Systems,Health Care,Mountain View,|Health Care|,45.693,10,0,0,80
FriendFeed,Social Media,Mountain View,|Social Network Media|Social Media|,5.000,9,0,7,88
FusionOne,Mobile,San Jose,|Mobile|,6.000,10,0,5,13
InSound Medical,Health Care,Newark,|Health Care|,13.881,10,0,0,8
sellpoints,Creative,Emeryville,|Creative|Advertising|Internet Marketing|Search Marketing|Digital Media|Online Shopping|Retail|Video|E-Commerce|,20.368,9.5,0,22,94
Celestial Semiconductor,Semiconductors,San Jose,|Semiconductors|,2.000,8,0,4,20
Helpstream,Customer Service,Mountain View,|Customer Service|Curated Web|,8.600,10,0,9,6
Mob.ly,Mobile,San Francisco,|Location Based Services|MicroBlogging|Social Search|Reviews and Recommendations|Mobile|,1.100,7.88,0,19,33
Waze,Transportation,Palo Alto,|Navigation|Transportation|,67.000,10,0,22,61
PopJax,Curated Web,San Francisco,|Curated Web|,4.700,10,0,9,6
YieldBuild,Advertising,San Francisco,|Advertising|,6.000,10,0,8,23
Greenline Industries,Environmental Innovation,Larkspur,|Technology|Green|Clean Energy|Environmental Innovation|Clean Technology|,20.000,10,0,11,14
Kickball Labs,Art,Palo Alto,|Social Media|Content|Art|Curated Web|,2.200,9.33,0,7,88
Glacier Bay,Clean Technology,Union City,|Clean Technology|,28.000,9.5,0,11,14
EBDSoft,Web CMS,Foster City,|Web CMS|Software|,4.550,9,0,22,9
PAX Streamline,Clean Technology,Novato,|Clean Technology|,6.000,10,0,11,14
Focus,Finance,San Francisco,|Finance|,12.170,10,0,14,27
PureSense,Clean Technology,Oakland,|Clean Technology|,10.281,9,0,11,14
Jivox,Mobile Advertising,Redwood City,|Mobile Advertising|Web Development|Media|Advertising|,31.400,8.64,0,8,23
